分数段	文科  合计	文科  累计	理科  合计	理科   累计
700	0	0	20	20
699～695	2	2	6	26
694～690	3	5	12	38
689～685	2	7	12	50
684～680	3	10	17	67
679～675	10	20	27	94
674～670	11	31	27	121
669～665	22	53	42	163
664～660	6	59	68	231
659～655	20	79	67	298
654～650	46	125	89	387
649～645	71	196	92	479
644～640	91	287	145	624
639～635	117	404	148	772
634～630	142	546	198	970
629～625	194	740	227	1197
624～620	207	947	250	1447
619～615	251	1198	330	1777
614～610	262	1460	351	2128
609～605	362	1822	395	2523
604～600	371	2193	425	2948
599～595	500	2693	538	3486
594～590	524	3217	578	4064
589～585	585	3802	663	4727
584～580	632	4434	749	5476
579～575	689	5123	783	6259
574～570	792	5915	972	7231
569～565	813	6728	1039	8270
564～560	935	7663	1097	9367
559～555	1038	8701	1257	10624
554～550	1075	9776	1286	11910
549～545	1240	11016	1414	13324
544～540	1272	12288	1489	14813
539～535	1376	13664	1647	16460
534～530	1428	15092	1786	18246
529～525	1616	16708	1857	20103
524～520	1739	18447	1908	22011
519～515	1731	20178	2109	24120
514～510	1938	22116	2159	26279
509～505	2015	24131	2213	28492
504～500	2122	26253	2429	30921
499～495	2211	28464	2377	33298
494～490	2275	30739	2563	35861
489～485	2457	33196	2589	38450
484～480	2525	35721	2778	41228
479～475	2523	38244	2817	44045
474～470	2653	40897	2947	46992
469～465	2685	43582	2987	49979
464～460	2760	46342	3098	53077
459～455	2730	49072	3254	56331
454～450	2869	51941	3245	59576
449～445	2912	54853	3326	62902
444～440	2871	57724	3463	66365
439～435	2839	60563	3293	69658
434～430	2789	63352	3453	73111
429～425	2916	66268	3435	76546
424～420	2909	69177	3394	79940
419～415	2840	72017	3298	83238
414～410	2764	74781	3340	86578
409～405	2628	77409	3394	89972
404～400	2649	80058	3342	93314
399～395	2539	82597	3142	96456
394～390	2500	85097	3279	99735
389～385	2346	87443	3163	102898
384～380	2197	89640	3006	105904
379～375	2071	91711	2982	108886
374～370	1909	93620	2930	111816
369～365	1795	95415	2750	114566
364～360	1636	97051	2735	117301
359～355	1487	98538	2594	119895
354～350	1358	99896	2489	122384
349～345	1241	101137	2419	124803
344～340	1096	102233	2327	127130
339～335	944	103177	2222	129352
334～330	832	104009	2059	131411
329～325	748	104757	2065	133476
324～320	629	105386	1912	135388
319～315	569	105955	1708	137096
314～310	504	106459	1699	138795
309～305	398	106857	1577	140372
304～300	369	107226	1423	141795
299～295	355	107581	1295	143090
294～290	271	107852	1195	144285
289～285	202	108054	1058	145343
284～280	197	108251	960	146303
279～275	143	108394	873	147176
274～270	125	108519	790	147966
269～265	116	108635	685	148651
264～260	100	108735	594	149245
259～255	73	108808	524	149769
254～250	52	108860	443	150212
249～245	65	108925	396	150608
244～240	52	108977	330	150938
239～235	34	109011	283	151221
234～230	40	109051	207	151428
229～225	27	109078	184	151612
224～220	23	109101	150	151762
219～215	22	109123	143	151905
214～210	20	109143	93	151998
209～205	9	109152	78	152076
204～200	16	109168	73	152149
199～195	9	109177	47	152196
194～190	7	109184	34	152230
189～185	13	109197	29	152259
184～180	8	109205	21	152280
179～175	3	109208	28	152308
174～170	2	109210	8	152316
169～165	7	109217	6	152322
164～160	7	109224	11	152333
159～155	7	109231	4	152337
154～150	4	109235	6	152343
149～145	6	109241	2	152345
144～140	5	109246	2	152347
139～135	2	109248	3	152350
134～130	2	109250	5	152355
129～125	6	109256	4	152359
124～120	3	109259	5	152364
119～115	3	109262	4	152368
114～110	6	109268	5	152373
109～105	0	109268	3	152376
104～100	0	109268	3	152379
100	6146	115414	6510	158889
