专业 	录取最低分 	录取最高分 	录取平均分
通信工程 	611 	623 	616
信息工程 	587 	616 	597
信息安全 	595 	621 	605
电子信息工程 	593 	617 	604
信息对抗技术 	570 	604 	587
电磁场与无线技术 	555 	597 	576
智能科学与技术 	566 	584 	575
计算机科学与技术 	587 	623 	600
物联网工程 	601 	603 	602
机械设计制造及其自动化 	583 	616 	595
自动化 	588 	592 	590
电气工程及其自动化 	610 	610 	610
测控技术与仪器 	554 	588 	571
电子科学与技术 	603 	608 	605
光电信息科学与工程 	575 	591 	582
电子信息科学与技术 	583 	607 	596
工业工程 	564 	577 	571
英语 	532 	535 	533
软件工程 	563 	599 	585
微电子科学与工程 	578 	609 	598
集成电路设计与集成系统 	561 	580 	568
材料科学与工程 	573 	594 	582
应用化学 	552 	553 	553
