分数段	文科  合计	文科  累计	理科  合计	理科   累计
700	0	0	26	26
699~695	1	1	14	40
694~690	2	2	12	52
689~685	2	7	21	73
684~680	3	10	39	112
679~675	7	17	39	151
674~670	11	28	52	203
669~665	11	39	77	280
664~660	20	59	81	361
659~655	22	81	116	477
654~650	41	122	124	601
649~645	66	188	154	755
644~640	87	275	158	913
639~635	102	377	185	1098
634~630	117	494	203	1301
629~625	151	645	239	1540
624~620	213	858	259	1799
619~615	230	1088	299	2098
614~610	268	1356	358	2456
609~605	340	1696	417	2873
604~600	363	2059	453	3326
599~595	437	2496	505	3831
594~590	469	2965	515	4346
589~585	572	3537	568	4914
584~580	613	4150	636	5550
579~575	699	4849	674	6224
574~570	700	5549	716	6940
569~565	848	6397	804	7744
564~560	924	7321	836	8580
559~555	995	8316	958	9538
554~550	1108	9424	965	10503
549~545	1175	10599	1503	18854
544~540	1257	11856	1564	20418
539~535	1374	13230	1634	22052
534~530	1417	14647	1749	23801
529~525	1587	16234	1800	25601
524~520	1719	17953	1937	27538
519~515	1725	19678	1964	29502
514~510	1931	21609	2090	31592
509~505	1909	23518	2165	33757
504~500	1983	25501	2274	36031
499~495	2135	27636	2345	38376
494~490	2147	29783	2479	40855
489~485	2221	32004	2465	43320
484~480	2208	34212	2505	45825
479~475	2334	36546	2651	48476
474~470	2394	38940	2683	51159
469~465	2344	41284	2730	53889
464~460	2487	43771	2752	56641
459~455	2395	46166	2901	59542
454~450	2483	48649	2974	62516
449~445	2450	51099	2953	65469
444~440	2487	53586	2983	68452
439~435	2459	56045	3130	71582
434~430	2510	58555	2994	74576
429~425	2520	61075	3043	77619
424~420	2488	63563	2992	80611
419~415	2528	66091	3000	83611
414~410	2449	68540	3074	86685
409~405	2459	70999	2868	89553
404~400	2427	73426	2928	92481
399~395	2237	75663	2838	95319
394~390	2272	77935	2862	98181
389~385	2217	80152	2847	101028
384~380	2098	82250	2738	103766
379~375	2047	84297	2736	106502
374~370	1946	86243	2670	109172
369~365	1796	88039	2527	111699
364~360	1686	89725	2594	114293
359~355	1555	91280	2441	116734
354~350	1502	92782	2479	119213
349~345	1381	94163	2361	121574
344~340	1339	95502	2161	123735
339~335	1140	96642	2038	125773
334~330	1035	97677	2024	127797
329~325	916	98593	1951	129748
324~320	818	99411	1780	131528
319~315	775	100186	1742	133270
314~310	655	100841	1661	134931
309~305	603	101444	1496	136427
304~300	510	101954	1404	137831
299~295	426	102380	1267	139098
294~290	356	102736	1164	140262
289~285	302	103038	1062	141324
284~280	272	103310	1009	142333
279~275	225	103535	892	143225
274~270	192	103727	814	144039
269~265	156	103883	726	144765
264~260	160	104043	613	145378
259~255	95	104138	538	145916
254~250	76	104214	483	146399
249~245	93	104307	466	146865
244~240	73	104380	354	147219
239~235	67	104447	334	147553
234~230	57	104504	267	147820
229~225	44	104548	194	148014
224~220	38	104586	188	148202
219~215	29	104615	141	148343
214~210	30	104645	101	148444
209~205	19	104664	80	148524
204~200	20	104684	65	148589
199~195	21	104705	39	148628
194~190	16	104721	31	148659
189~185	8	104729	33	148692
184~180	11	104740	20	148712
179~175	9	104749	17	148729
174~170	2	104751	18	148747
169~165	8	104759	12	148759
164~160	3	104762	15	148774
159~155	9	104771	6	148780
154~150	9	104780	8	148788
149~145	1	104781	7	148795
144~140	5	104786	9	148804
139~135	3	104789	6	148810
134~130	6	104795	3	148813
129~125	1	104796	4	148817
124~120	3	104799	5	148822
119~115	0	104799	7	148829
114~110	4	104803	5	148834
109~105	1	104804	2	148836
104~100	1	104805	2	148838
100	4779	109584	5233	154071
